"cz","Name","Household_Income_for_Immigrants_rP_gP_pall"
"cz10101","Bainbridge, GA",
"cz34309","Harlowton, MT",
"cz6501","Ellijay, GA",
"cz4601","Campbellsville, KY",
"cz602","Galax, NC & VA",
"cz26203","Linton, ND",
"cz4101","Crossett, AR",
"cz28602","Norton, KS",
"cz1204","Andrews, GA & NC",
"cz28606","Wano, KS & NE",
"cz13103","Bardstown, KY",
"cz29101","Concordia, KS",
"cz27503","Atlantic, IA",
"cz29103","Beloit, KS",
"cz16703","Buckhannon, WV",
"cz30603","Truth or Consequences, NM",
"cz26302","Carrington, ND",
"cz21003","Ironwood, MI & WI",
"cz28604","Colby, KS",
"cz28402","Limon, CO",
"cz3002","Yazoo City, MS",
"cz27003","Ainsworth, NE",
"cz3202","Natchez, LA & MS",
"cz28703","Granby, CO",
"cz39205","John Day, OR",
"cz34501","Bonners Ferry, ID",
"cz34502","Libby, MT",
"cz26804","Cooperstown, ND",
"cz29008","Center, KS",
"cz29505","Polk, MO",
"cz34604","Lusk, WY",
"cz3102","Brookhaven, MS",
"cz34306","Jordan, MT",
"cz29202","Marysville, KS",
"cz34602","Rawlins, WY",
"cz26802","Lisbon, ND",
"cz12702","Maysville, KY",
"cz26202","East Grant UT, ND",
"cz32502","Childress, TX",
"cz3201","Jena, LA",
"cz29007","Township 11, KS",
"cz11202","Welch, WV",
"cz28305","Broken Bow, NE",
"cz26404","Lemmon, ND & SD",
"cz28504","Burlington, CO",
"cz3902","Lake Providence, LA",
"cz28304","Valentine, NE",
"cz28603","Phillipsburg, KS",
"cz29506","Bethany, MO",
"cz35803","McCall, ID",
"cz31003","Scott City, KS",
"cz8502","Cordele, GA",
"cz36503","Lakeview, OR",
"cz26104","Trenton, MO",
"cz28601","Oberlin, KS",
"cz4903","Lexington, TN",
"cz26405","Scobey, MT",
"cz10301","Eufaula, AL & GA",
"cz34401","Dillon, MT",
"cz28605","Goodland, KS",
"cz4001","Magnolia, AR",
"cz32603","Seymour, TX",
"cz26105","Polk, MO",
"cz12902","Mount Sterling, KY",
"cz26502","Madison, SD",
"cz29006","Hays, KS",
"cz39202","Enterprise, OR",
"cz39301","Friday Harbor, WA",
"cz20403","Oak Bluffs, MA",
"cz36303","Jackson, ID & WY",
"cz25602","Harrisburg, IL",
"cz26103","Brookfield, MO",
"cz16802","Summersville, WV",
"cz16902","Spencer, WV",
"cz8402","Washington, GA",
"cz8501","Fitzgerald, GA",
"cz26407","Plentywood, MT",
"cz32303","Junction, TX",
"cz34804","Clayton, NM",
"cz35905","Loa, UT",
"cz3001","Kosciusko, MS",
"cz33603","Frederick, OK",
"cz27604","Murdo, SD",
"cz27703","Torrington, WY",
"cz34803","Tucumcari, NM",
"cz28501","Springfield, CO",
"cz27001","O'Neill, NE",
"cz34305","Miles City, MT",
"cz36502","Burns, OR",
"cz26305","Rugby, ND",
"cz37603","Portola, CA",
"cz28701","Salida, CO",
"cz27002","Ord, NE",
"cz28303","Oshkosh, NE",
"cz30702","Santa Rosa, NM",
"cz20402","Nantucket, MA",
"cz27010","Miller, SD",
"cz5201","New Albany, MS",
"cz34204","Lewistown, MT",
"cz4301","Stuttgart, AR",
